Origin_Name,Lat,Lon,ID,Pop
Ann,19.783330,94.033330,D_1,9112.00
Bago,17.336670,96.479720,D_2,8692.00
Bandar Seri Begawan,4.903052,114.939821,D_3,1015.00
Bandung,-6.919393,107.608456,D_4,5324.00
Banjarmasin,-3.324420,114.591000,D_5,2109.00
Battambang  ,13.103000,103.198000,D_6,2645.00
Bien Hoa,10.950000,106.816670,D_7,3844.00
Bogor,-6.606481,106.801891,D_8,8821.00
Cagayan de Oro City,8.482220,124.647220,D_9,5688.00
Can Tho,10.033330,105.783330,D_10,5483.00
Chiang Mai,18.787740,98.993120,D_11,5681.00
Chon Buri,13.361125,100.988319,D_12,8054.00
Da Nang,16.051264,108.212426,D_13,1452.00
Davao City,7.073854,125.612487,D_14,2036.00
General Santos City,6.112780,125.171670,D_15,3990.00
Hà Noi,21.024500,105.841170,D_16,3780.00
Hai Phòng,20.864810,106.683450,D_17,8806.00
Huai Ta Mai,14.685230,104.579200,D_18,3667.00
Ipoh,4.583333,101.083300,D_19,2140.00
Jakarta,-6.211831,106.841646,D_20,485.00
Kampong Saom,10.609000,103.530000,D_21,9312.00
Kan Paik Ti,25.519560,97.781000,D_22,993.00
Krung Thep (Bangkok),13.721964,100.525248,D_23,6363.00
Kuala Lumpur,3.141200,101.686530,D_24,9398.00
Luang Prabang  ,19.886000,102.135000,D_25,4480.00
Ma-Ei,19.347100,94.137720,D_26,5010.00
Magway,20.250000,94.750000,D_27,1964.00
Malang,-7.979700,112.630400,D_28,9367.00
Mandalay,21.974730,96.083590,D_29,8601.00
Mawlamyine,16.490510,97.628250,D_30,6552.00
Medan,3.583330,98.666670,D_31,9381.00
Meiktila,20.835710,95.773310,D_32,7503.00
Minbu,21.174720,94.881940,D_33,8411.00
Mongyai,22.405870,98.032970,D_34,8317.00
Muse,23.993280,97.910260,D_35,4844.00
Myitkyina,25.394610,97.384070,D_36,989.00
Namhkan,23.830420,97.684650,D_37,7791.00
Nay Pyi Taw,19.745000,96.129720,D_38,4578.00
Nonthaburi,13.860208,100.521782,D_39,306.00
Pakse  ,15.120000,105.799000,D_40,5590.00
Palembang,-2.916730,104.745800,D_41,9682.00
Pekan Baru,0.533330,101.450000,D_42,7149.00
Phnom Penh  ,11.562000,104.916000,D_43,7939.00
Pleiku,13.886070,108.009330,D_44,7063.00
Pontianak,-0.033330,109.333330,D_45,5250.00
Preah Vihear,13.803420,104.968550,D_46,9363.00
Rattanakkiri,13.740020,106.991530,D_47,3446.00
Sa Bai Na Go,23.110680,96.022560,D_48,2833.00
Samarinda,-0.500000,117.150000,D_49,6892.00
Samut Prakan,13.599340,100.596750,D_50,6184.00
Savannakhét  ,16.565000,104.753000,D_51,3939.00
Semarang,-6.993200,110.420300,D_52,3413.00
Shwebo,22.578650,95.698390,D_53,4253.00
Siem Reap  ,13.362000,103.861000,D_54,6798.00
Singapore,1.289670,103.850070,D_55,2676.00
Stung Treng,13.499920,105.993650,D_56,7462.00
Surabaya,-7.288838,112.741078,D_57,4497.00
Surakarta,-7.556110,110.831670,D_58,4524.00
Tasikmalaya,-7.327905,108.216618,D_59,3136.00
Thakhek ,17.410000,104.831000,D_60,2246.00
Thành Pho Ho Chí Minh (Ho Chi Minh City),10.750000,106.666670,D_61,5139.00
Tigyaing,23.755790,96.146070,D_62,9648.00
Udon Thani,17.415670,102.785890,D_63,2973.00
Uttaradit,17.420750,100.325080,D_64,3846.00
Vientiane,17.966670,102.600000,D_65,2841.00
Yangon,16.805280,96.156110,D_66,8502.00
Zamboanga City,6.910333,122.075045,D_67,4750.00
